---,Destination_Name,Text_String,TableRow,PartnerPortal,Text_DestinationString
"Artisans","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""131B86D941FF0367EB0FED8C7B5FCBF3"", ""Artisans"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/Spyro1_StreamData.Spyro1_StreamData""',RowName=""LS101"")","LS101_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""BD19E7C24153C82349E0F4A5EE0C5AD5"", ""Go To Artisans"")"
"Peacekeepers","0","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""AB7EF1F14E1BB379AC75C1BE9962789C"", ""Peace Keepers"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS107"")","LS107_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""7A64CEC2472A68713BDC6799F6E450DF"", ""Go To Peace Keepers"")"
"MagicCrafters","4","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""D2E042144EC6A64828EB76A338927987"", ""Magic Crafters"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS113"")","LS113_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""60BACE0B4BAD1148C43D7F84F5D25596"", ""Go To Magic Crafters"")"
"BeastMakers","3","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""054F1C8441408698F49C799C4F4EB6B9"", ""Beast Makers"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS119"")","LS119_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""C1D6C87C42AAE0573193FB95A957F720"", ""Go To Beast Makers"")"
"DreamWeavers","2","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""AFE3F5CE4EDEE6DE682D2F888F298616"", ""Dream Weavers"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS125"")","LS125_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""845DAFA840AF788A9F137C952948724E"", ""Go To Dream Weavers"")"
"GnastysWorld","5","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""C3DB5470473BDF26B68B66B1C8C9242E"", ""Gnasty's World"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS131"")","LS131_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""8222C1CE443537063D988FA2BE09613B"", ""Go To Gnasty's World"")"
"GnastysLoot","6","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""8E3D4C7F4F722968438C56B0DE0E13BA"", ""Gnasty's Loot"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS135"")","LS135_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""DFC23BFF4493D181B3F9F9A2B19E7D4C"", ""Go To Gnasty's Loot"")"
"CliffTown","7","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""A1CA3E554CA3F619158F859207946754"", ""Cliff Town"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS109"")","LS109_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""BCF6639D4D2248CB22416C9B134E7197"", ""Go To Cliff Town"")"
"DryCanyon","8","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""A388B24746951010E0098B8C35CCAF76"", ""Dry Canyon"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS108"")","LS108_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""4AC3E1534761CA01803CABAE449E416C"", ""Go To Dry Canyon"")"
"WizardPeak","9","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""FECF45784E5E2D98F088D99A54A3C71D"", ""Wizard Peak"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS116"")","LS116_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""DBD48A71476FBD38E5D3478656FE296B"", ""Go To Wizard Peak"")"
